id,platform,trend,caption,source_title,source_url,asset_url,asset_kind,visual_mechanism,sa_boo_translation,prompt_tags,recommended_use,rights_note,accessed
figma-vibrant-color,Figma,Vibrant color palettes,Vibrant color palette web design homepage example,Top Web Design Trends for 2026,https://www.figma.com/resource-library/web-design-trends/,https://cdn.sanity.io/images/599r6htc/regionalized/85d9b6c02d841b9bf6c4ead45f1b65e01885c012-2880x1820.png?w=2880&h=1820&q=75&fit=max&auto=format,remote_image_reference,"Gradients, overlays and saturated accent palettes",高饱和但需保持品牌秩序和文字可读性,vibrant color; gradient; overlay; saturated accent,Figma layout; web hero; prompt reference; moodboard,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
figma-bold-typography,Figma,Bold typography,Bold typography web design homepage example,Top Web Design Trends for 2026,https://www.figma.com/resource-library/web-design-trends/,https://cdn.sanity.io/images/599r6htc/regionalized/2dd57f8b7e18532deaa0c15699015068a41d76a5-2880x1820.png?w=2880&h=1820&q=75&fit=max&auto=format,remote_image_reference,"Oversized headlines, layered type, high-impact hero typography",小红书封面/官网首屏/提案标题系统,bold typography; oversized headline; layered type; hero section,Figma layout; web hero; prompt reference; moodboard,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
figma-dark-mode,Figma,Dark mode,Dark mode web design example,Top Web Design Trends for 2026,https://www.figma.com/resource-library/web-design-trends/,https://cdn.sanity.io/images/599r6htc/regionalized/8178e8d88898c66bcc2385fbfc0a8a9f0b2f9cbf-2880x1820.png?w=2880&h=1820&q=75&fit=max&auto=format,remote_image_reference,"Black/charcoal interface, glow accents, accessible contrast",黑银液态金属、AI/科技/奢华品牌视觉,dark mode; black silver; glow accent; accessible contrast,Figma layout; web hero; prompt reference; moodboard,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
figma-motion-design,Figma,Motion design and animation,Motion design animation homepage example,Top Web Design Trends for 2026,https://www.figma.com/resource-library/web-design-trends/,https://cdn.sanity.io/images/599r6htc/regionalized/a340ed6f495cb36c3fb3192898bb306d745214f4-2880x1820.png?w=2880&h=1820&q=75&fit=max&auto=format,remote_image_reference,"Micro-interactions, scroll storytelling, rhythm and motion",动态海报、Runway视频口令、官网滚动叙事,motion design; scrollytelling; micro animation; rhythm,Figma layout; web hero; prompt reference; moodboard,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
figma-gamified-design,Figma,Gamified design,Gamified web design example,Top Web Design Trends for 2026,https://www.figma.com/resource-library/web-design-trends/,https://cdn.sanity.io/images/599r6htc/regionalized/df8f8913d2bfb63e84acadc115f0f8e331bb49d8-2880x1820.png?w=2880&h=1820&q=75&fit=max&auto=format,remote_image_reference,"Points, levels, badges, progress, playful engagement",设计课程、学习打卡、互动式内容产品,gamified design; badges; progress bar; reward system,Figma layout; web hero; prompt reference; moodboard,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
figma-neumorphism,Figma,Neumorphism,Neumorphism web design homepage example,Top Web Design Trends for 2026,https://www.figma.com/resource-library/web-design-trends/,https://cdn.sanity.io/images/599r6htc/regionalized/7f155a82f958f5ad77c03d03f8407c7f86a43eca-2880x1820.png?w=2880&h=1820&q=75&fit=max&auto=format,remote_image_reference,"Soft inset shadows, subtle gradients, touchable UI panels",触感UI、轻奢工具界面、材质化按钮,neumorphism; soft shadow; inset panel; tactile UI,Figma layout; web hero; prompt reference; moodboard,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
figma-retrofuturism,Figma,Retrofuturism,Retrofuturism web design homepage example,Top Web Design Trends for 2026,https://www.figma.com/resource-library/web-design-trends/,https://cdn.sanity.io/images/599r6htc/regionalized/e4b04036acbd36a69fdfd93f6e55f91ec27ecf68-2880x1820.png?w=2880&h=1820&q=75&fit=max&auto=format,remote_image_reference,"Chrome, neon, pixel/arcade, vintage visions of future",暗黑铬质复古未来、AI时尚/美妆/音乐视觉,retrofuturism; chrome; neon; pixel; sci-fi gradient,Figma layout; web hero; prompt reference; moodboard,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
figma-maximalism,Figma,Maximalism,Maximalism web design homepage example,Top Web Design Trends for 2026,https://www.figma.com/resource-library/web-design-trends/,https://cdn.sanity.io/images/599r6htc/regionalized/1477814978778db25441e960e947abbf0ffad376-2880x1820.png?w=2880&h=1820&q=75&fit=max&auto=format,remote_image_reference,"Dense, expressive, vibrant visual layering",极繁但需建立层级，适合活动/艺术方向,maximalism; dense layout; expressive visual; rich layering,Figma layout; web hero; prompt reference; moodboard,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
figma-collage,Figma,Collage,Collage web design example homepage,Top Web Design Trends for 2026,https://www.figma.com/resource-library/web-design-trends/,https://cdn.sanity.io/images/599r6htc/regionalized/f2e8c4e269c89201576628e8719bbba924694d61-2880x1820.png?w=2880&h=1820&q=75&fit=max&auto=format,remote_image_reference,"Sticker graphics, torn textures, cutout photos, scrapbook web",Notes App Chic/个人IP真实拼贴参考,collage; sticker; torn texture; cutout photo; scrapbook,Figma layout; web hero; prompt reference; moodboard,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
figma-neo-brutalism,Figma,Neo-brutalism / anti-design,Neo-brutalist web design example homepage,Top Web Design Trends for 2026,https://www.figma.com/resource-library/web-design-trends/,https://cdn.sanity.io/images/599r6htc/regionalized/ad5bf52b1afdce87f6c3396b08df7d783ba7824c-2880x1820.png?w=2880&h=1820&q=75&fit=max&auto=format,remote_image_reference,"Raw blocks, hard shadows, anti-template urgency",观点型封面、年轻实验品牌，需节制使用,neo brutalism; anti design; raw blocks; hard shadow,Figma layout; web hero; prompt reference; moodboard,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
figma-sustainable-design,Figma,Sustainable Web design,Sustainable web design homepage example,Top Web Design Trends for 2026,https://www.figma.com/resource-library/web-design-trends/,https://cdn.sanity.io/images/599r6htc/regionalized/6506f0418b2a384e5e4ea4dccfeb3c5a3c2116a2-2880x1820.png?w=2880&h=1820&q=75&fit=max&auto=format,remote_image_reference,"Accessible, reduced clutter, inclusive and efficient design",低噪音、可访问、简洁高效的商业设计,sustainable web; accessibility; reduced clutter; inclusive contrast,Figma layout; web hero; prompt reference; moodboard,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
figma-chatbot-ai,Figma,AI trend: Chatbots,Chatbot example on a homepage,Top Web Design Trends for 2026,https://www.figma.com/resource-library/web-design-trends/,https://cdn.sanity.io/images/599r6htc/regionalized/de46977dc071fca5d69e0c0c85d230890821f31d-2880x1820.png?w=2880&h=1820&q=75&fit=max&auto=format,remote_image_reference,AI chatbot/product interface narrative,AI服务页面、工具产品介绍、智能顾问视觉,AI chatbot; interface; assistant; product narrative,Figma layout; web hero; prompt reference; moodboard,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
figma-mcp-code-connect,Figma,MCP design context,Figma MCP screenshot showing component/variable code context,Introducing Figma MCP server,https://www.figma.com/blog/introducing-figma-mcp-server/,"https://cdn.sanity.io/images/599r6htc/regionalized/b5a27efe4991b8d004b93dd8dda8080ac42d15cf-3264x1836.png?rect=2,0,3261,1836&w=1080&h=608&q=75&fit=max&auto=format",remote_image_reference,"Design context for LLMs: components, variables, Code Connect metadata",用于理解MCP如何把视觉资产、组件和设计意图交给AI；适合建立SA&BOO工具路线文档,Figma MCP; Code Connect; variables; design context,MCP documentation; tool workflow; design-to-code reference,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
figma-mcp-screenshot-context,Figma,MCP design context,Figma MCP screenshot context and component breakdown,Introducing Figma MCP server,https://www.figma.com/blog/introducing-figma-mcp-server/,"https://cdn.sanity.io/images/599r6htc/regionalized/369d36fd0f3f496eff76c4b3259bbb1016f9c3f2-3264x1836.png?rect=2,0,3261,1836&w=1080&h=608&q=75&fit=max&auto=format",remote_image_reference,Screenshot context helps LLM understand layout hierarchy and design intent,用于理解MCP如何把视觉资产、组件和设计意图交给AI；适合建立SA&BOO工具路线文档,Figma MCP; screenshot context; design intent; layout hierarchy,MCP documentation; tool workflow; design-to-code reference,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
figma-mcp-interactivity,Figma,MCP design context,Figma MCP React/Tailwind interactive code representation,Introducing Figma MCP server,https://www.figma.com/blog/introducing-figma-mcp-server/,"https://cdn.sanity.io/images/599r6htc/regionalized/fd0306ec5b9ec5dc8e1f3eb758cea6d76d0c6eaf-3264x1836.png?rect=2,0,3261,1836&w=1080&h=608&q=75&fit=max&auto=format",remote_image_reference,Interactive code representation for stateful UI and design-to-code,用于理解MCP如何把视觉资产、组件和设计意图交给AI；适合建立SA&BOO工具路线文档,Figma MCP; interactivity; React; Tailwind; design-to-code,MCP documentation; tool workflow; design-to-code reference,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
figma-mcp-content,Figma,MCP design context,Figma MCP content/layer names informing UI understanding,Introducing Figma MCP server,https://www.figma.com/blog/introducing-figma-mcp-server/,"https://cdn.sanity.io/images/599r6htc/regionalized/bdfd513b727a464a6d53e4f9a7aa2380d5509fbe-3264x1836.png?rect=2,0,3261,1836&w=1080&h=608&q=75&fit=max&auto=format",remote_image_reference,"Text, SVG, images, layer names and annotations as design context",用于理解MCP如何把视觉资产、组件和设计意图交给AI；适合建立SA&BOO工具路线文档,Figma MCP; content; layer names; annotations,MCP documentation; tool workflow; design-to-code reference,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
canva-mcp-auth-flow,Canva,Canva MCP workflow,Canva AI/MCP authentication flow image,Canva Model Context Protocol Documentation,https://www.canva.dev/docs/mcp/,https://www.canva.dev/_next/static/media/canva-ai-auth.8be35f11.png,remote_image_reference,"Canva MCP enables design generation, editing, discovery, brand/assets, export and comments through AI assistants",用于记录未来Canva AI Connector接入路线，不代表当前仓库已连接Canva工具,Canva MCP; AI Connector; design generation; brand kit; export,MCP setup reference; tool workflow,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
