name,folder,skill_md,file_count,description
Presentations,presentations,codex_visual_stack/skills/presentations/SKILL.md,136,Create or edit PowerPoint or Google Slides decks
sa-boo-autocad-construction-standard,sa-boo-autocad-construction-standard,codex_visual_stack/skills/sa-boo-autocad-construction-standard/SKILL.md,12,"SA&BOO AutoCAD construction drawing standard for interior design and renovation drawings, including CAD layer naming, colors/lineweights, annotation and dimension styles, title blocks, sheet/file naming, issue versions, revision clouds, change logs, redlines, QA/QC checks, and AutoCAD MCP drafting s"
sa-boo-brand-director,sa-boo-brand-director,codex_visual_stack/skills/sa-boo-brand-director/SKILL.md,2,"SA&BOO brand creative director workflow for brand strategy, personal brand systems, logo/core-symbol development, visual identity systems, design methodology, creative direction, brand proposal language, and AI prompt framing. Use when the user asks to build or analyze a brand, develop logo/VI/visua"
sa-boo-cad-sketchup-bridge,sa-boo-cad-sketchup-bridge,codex_visual_stack/skills/sa-boo-cad-sketchup-bridge/SKILL.md,5,"SA&BOO CAD↔SketchUp bridge workflow for interior design, renovation, and visual-first project delivery. Use when Codex needs to connect AutoCAD/DWG/DXF drawings with SketchUp 2025 modeling, clean CAD plans for SketchUp import, query or audit CAD files, create SU-ready reference drawings, build white"
sa-boo-co-design-interior-partner,sa-boo-co-design-interior-partner,codex_visual_stack/skills/sa-boo-co-design-interior-partner/SKILL.md,2,"SA&BOO interactive interior co-design partner protocol. Use for Bonnie's real interior design, renovation, soft-decoration, CAD, SketchUp, rendering, material, proposal, and project-review work when Codex must collaborate like a design partner rather than act as an autonomous/无脑 robot. Trigger when "
sa-boo-design-research-radar,sa-boo-design-research-radar,codex_visual_stack/skills/sa-boo-design-research-radar/SKILL.md,8,"SA&BOO design research radar for current interior design, renovation, brand/visual identity, AI creative tools, model workflow, Chinese and global design/social trend scanning, learning roadmaps, and tool/MCP stack planning. Use when the user asks to research design公众号/论坛/设计网站/小红书/抖音/Behance/Pintere"
sa-boo-east-west-luxury-interior,sa-boo-east-west-luxury-interior,codex_visual_stack/skills/sa-boo-east-west-luxury-interior/SKILL.md,2,"SA&BOO luxury interior and spatial narrative writing skill for design briefs, project descriptions, proposal copy, bilingual Chinese-English design language, commercial/office/residential interiors, East-West cultural fusion, low-key luxury, light/material/ceremony narratives, and client-facing desi"
sa-boo-figma-brand-kit,sa-boo-figma-brand-kit,codex_visual_stack/skills/sa-boo-figma-brand-kit/SKILL.md,9,"SA&BOO Figma Brand Kit workflow for building practical brand asset libraries, design tokens, variables, styles, components, proposal/social templates, and AI/MCP-assisted Figma production. Use when the user asks to create, learn, audit, or operationalize a Figma Brand Kit, design system, brand guide"
sa-boo-furniture-textile-softdecor,sa-boo-furniture-textile-softdecor,codex_visual_stack/skills/sa-boo-furniture-textile-softdecor/SKILL.md,18,"SA&BOO furniture, textile, soft-decoration, FF&E, styling, and interior object knowledge system. Use when Codex needs to learn, research, specify, compare, audit, source, model, tag, draw, render, or present furniture, upholstery, curtains, rugs, bedding, cushions, lighting/decor objects, system fur"
sa-boo-lineart-blueprint,sa-boo-lineart-blueprint,codex_visual_stack/skills/sa-boo-lineart-blueprint/SKILL.md,2,"SA&BOO technical line-art and blueprint prompt workflow for product design sketches, jewelry, handbags, furniture, mechanical flowers, robotic devices, packaging structures, fashion accessories, and concept design sheets. Use when the user asks for line drawing, hand draft, blueprint, technical anno"
sa-boo-liquid-silver-style,sa-boo-liquid-silver-style,codex_visual_stack/skills/sa-boo-liquid-silver-style/SKILL.md,2,"SA&BOO AI image prompt style for liquid silver metal, chrome, mercury texture, acid design, Y2K futurism, cyber luxury, high-end editorial posters, product KV, logo variants, fashion/beauty visuals, surreal flowers, and futuristic luxury imagery. Use when the user asks for silver metallic aesthetics"
sa-boo-macos-automation-bridge,sa-boo-macos-automation-bridge,codex_visual_stack/skills/sa-boo-macos-automation-bridge/SKILL.md,3,"SA&BOO macOS automation bridge standard. Use when Codex needs to automate macOS apps, Finder, SketchUp, Terminal, AppleScript, JXA, shell scripts, Python/Ruby/Node scripts, or build reliable Mac workflow glue. Hard rule: AppleScript is only a thin orchestration shell; complex logic must live in exte"
sa-boo-material-supplier-budget-db,sa-boo-material-supplier-budget-db,codex_visual_stack/skills/sa-boo-material-supplier-budget-db/SKILL.md,18,"SA&BOO material, supplier, FF&E, procurement, and budget database workflow for interior design projects, covering material libraries, vendor qualification, price tracking, budget estimation, procurement status, maintenance/warranty records, substitutions, client-facing schedules, Excel/CSV/Notion/Ai"
sa-boo-project-intake,sa-boo-project-intake,codex_visual_stack/skills/sa-boo-project-intake/SKILL.md,2,"SA&BOO client intake and project brief workflow for interior design, brand design, soft furnishing, office/commercial/residential projects, and personal IP work. Use when Codex needs to structure a new client inquiry, clarify requirements, translate scattered messages/images into a professional brie"
sa-boo-prompt-translator,sa-boo-prompt-translator,codex_visual_stack/skills/sa-boo-prompt-translator/SKILL.md,2,"SA&BOO prompt translator for converting Chinese design intentions into structured AI image prompts for Midjourney, DALL·E, Stable Diffusion, Jimeng/即梦, Runway, and other image/video models. Use when the user asks to write, improve, translate, structure, or adapt AI prompts across styles, platforms, "
sa-boo-proposal-deck-director,sa-boo-proposal-deck-director,codex_visual_stack/skills/sa-boo-proposal-deck-director/SKILL.md,2,"SA&BOO proposal deck director workflow for interior design, brand design, soft furnishing, office/commercial/residential design, visual identity, and client-facing presentations. Use when Codex needs to create or refine a premium proposal structure, slide-by-slide outline, chapter narrative, present"
sa-boo-realtime-render-presentation,sa-boo-realtime-render-presentation,codex_visual_stack/skills/sa-boo-realtime-render-presentation/SKILL.md,12,"SA&BOO real-time rendering presentation workflow for D5 Render, Enscape, Twinmotion, and similar interior visualization tools, covering quick client presentations, lighting setup, material standards, camera composition, scene states, before/after comparisons, export packs, QA, and social/proposal re"
sa-boo-sketchup-interior-director,sa-boo-sketchup-interior-director,codex_visual_stack/skills/sa-boo-sketchup-interior-director/SKILL.md,8,"SA&BOO design-creativity-led SketchUp interior design director workflow for SketchUp 2025 on macOS. Use when Bonnie needs Codex to turn Chinese/English interior ideas, CAD/layout evidence, references, white models, screenshots, SketchUp/3ds/3D files, materials, lighting moods, or client goals into a"
sa-boo-style-mixer,sa-boo-style-mixer,codex_visual_stack/skills/sa-boo-style-mixer/SKILL.md,2,"SA&BOO style mixing and style-transfer prompt skill for generating multiple aesthetic versions of the same theme across liquid silver, technical blueprint, Victorian ornament, East-West luxury, cyberpunk, Memphis, minimalism, gothic, dreamcore, acid design, and social-media cover styles. Use when th"
sa-boo-victorian-ornamental-line,sa-boo-victorian-ornamental-line,codex_visual_stack/skills/sa-boo-victorian-ornamental-line/SKILL.md,2,"SA&BOO ornamental line-art style for Victorian, Rococo, Renaissance scrollwork, floral patterns, luxury frames, emblems, certificates, packaging ornaments, black-and-white decorative illustrations, and high-end commercial vector motifs. Use when the user asks for ornate linework, floral decorative p"
sa-boo-visual-asset-index,sa-boo-visual-asset-index,codex_visual_stack/skills/sa-boo-visual-asset-index/SKILL.md,10,"SA&BOO visual asset citation and local image cache workflow for design learning, trend research, material references, render references, brand kit references, and vector-like search. Use when the user asks to preserve original visual assets, avoid dead URLs, create image/reference libraries, cite so"
sa-boo-visual-first-core,sa-boo-visual-first-core,codex_visual_stack/skills/sa-boo-visual-first-core/SKILL.md,3,"SA&BOO mandatory visual-first doctrine for every SA&BOO design, research, learning, proposal, prompt, CAD, rendering, FF&E, brand, and social-content skill. Use when Codex needs to apply the hard rule that a high-quality visual asset chain leads and text supports it. Must reject blurry, low-quality,"
sa-boo-visual-style-prompt-lab,sa-boo-visual-style-prompt-lab,codex_visual_stack/skills/sa-boo-visual-style-prompt-lab/SKILL.md,6,"SA&BOO trend-aware text-to-image prompt laboratory for converting design intentions into controllable visual-style systems, drawing from current Canva/Adobe/Figma/Pinterest-like visual trends, SA&BOO prompt skills, and available image/Figma/Canva-style MCP routes. Use when the user asks to strengthe"
sa-boo-xiaohongshu-ip,sa-boo-xiaohongshu-ip,codex_visual_stack/skills/sa-boo-xiaohongshu-ip/SKILL.md,2,"SA&BOO Bonnie personal IP and Chinese social media content skill for Xiaohongshu, WeChat Channels, short-video scripts, aesthetic education, color/design sharing, travel/lifestyle posts, cover prompts, titles, topic planning, and conversion-oriented personal branding. Use when the user asks for new "
scene-explorer,scene-explorer,codex_visual_stack/skills/scene-explorer/SKILL.md,2,"Explore business, service, customer, retail, and point-of-sale scenes that place a product, venue, service, or offer inside realistic commercial contexts. Use when the user wants scene prompts, product-in-environment exploration, service moments, consumer decision contexts, or reusable scene librari"
shot-explorer,shot-explorer,codex_visual_stack/skills/shot-explorer/SKILL.md,3,"Explore selected-count camera-angle, crop, zoom, and macro-detail variants from an uploaded image. Use when the user wants a Shot Explorer, product shot variants, alternate views, closeups, pan/zoom exploration, or camera/composition options before polish."
sketchup-1001bit-architectural-tools,sketchup-1001bit-architectural-tools,codex_visual_stack/skills/sketchup-1001bit-architectural-tools/SKILL.md,3,"SketchUp 1001bit Tools Freeware 1.0.5 workflow for SketchUp 2025 architectural and interior hard-modeling utilities. Use when Codex needs to plan, prepare, audit, or guide fast white-model and hardscape generation such as walls, openings, door/window frames, stairs, spiral stairs, escalator-like ste"
sketchup-advanced-camera-tools,sketchup-advanced-camera-tools,codex_visual_stack/skills/sketchup-advanced-camera-tools/SKILL.md,3,"SketchUp Advanced Camera Tools 1.3.4 workflow for SketchUp 2025 physical camera planning, cinematographic composition, focal length/aspect-ratio control, safe zones, camera frustums, camera locking, look-through views, interior render shot lists, white-model-to-AI-render source cameras, and consiste"
sketchup-ai-render-workflow,sketchup-ai-render-workflow,codex_visual_stack/skills/sketchup-ai-render-workflow/SKILL.md,3,"SketchUp AI Render / SketchUp Diffusion workflow for SketchUp 2025 interior design. Use when Codex needs to plan, prepare, prompt, audit, or guide AI Render outputs from SketchUp scenes, including white-model-to-material concept renders, prompt/negative-prompt writing, geometry-vs-prompt influence s"
sketchup-architextures-materials,sketchup-architextures-materials,codex_visual_stack/skills/sketchup-architextures-materials/SKILL.md,3,"SketchUp Architextures 1.1.2254 workflow for SketchUp 2025 seamless material generation and hard-finish texture setup. Use when Codex needs to plan, prepare, audit, or guide creating, importing, editing, scaling, and organizing seamless textures for tiles, wood flooring, stone slabs, brick, terrazzo"
sketchup-artisan-organic-modeling,sketchup-artisan-organic-modeling,codex_visual_stack/skills/sketchup-artisan-organic-modeling/SKILL.md,3,"SketchUp Artisan 2 workflow for organic and subdivision modeling in SketchUp 2025. Use when Codex needs to plan, prepare, audit, or guide soft/curved/interpolated geometry such as sofas, cushions, curved furniture, sculptural walls, organic partitions, irregular decor objects, terrain-like forms, sm"
sketchup-color-maker-palettes,sketchup-color-maker-palettes,codex_visual_stack/skills/sketchup-color-maker-palettes/SKILL.md,3,"SketchUp DBUR ColorMaker 1.0.0/1.0.1 workflow for SketchUp 2025 standard color material creation, RAL/NCS/Pantone/PMS/Munsell/Resene/Web/X11/AutoCAD/Bootstrap/HTML-SU/Color-temperature palettes, wall paint color studies, brand-color translation, soft-furnishing color schemes, white-model coloring, a"
sketchup-curic-align-view,sketchup-curic-align-view,codex_visual_stack/skills/sketchup-curic-align-view/SKILL.md,3,"SketchUp Curic Align View 1.2.1 workflow for SketchUp 2025 camera, elevation, section, and presentation view alignment. Use when Codex needs to plan, prepare, audit, or guide aligned views from faces/edges/objects, orthographic elevation-like scenes, interior wall elevations, cabinet/front views, ma"
sketchup-dbs-move-rotate-open-close,sketchup-dbs-move-rotate-open-close,codex_visual_stack/skills/sketchup-dbs-move-rotate-open-close/SKILL.md,3,"SketchUp DBS Move Rotate Open Close 3.10 workflow for SketchUp 2025 movable furniture and interior component interaction. Use when Codex needs to plan, prepare, audit, or guide configuring open/close states, move/rotate joints, cabinet doors, wardrobe doors, drawers, sliding doors, hinged room doors"
sketchup-edge-tools-cleanup,sketchup-edge-tools-cleanup,codex_visual_stack/skills/sketchup-edge-tools-cleanup/SKILL.md,3,"SketchUp Edge Tools² 2.2.0 workflow for SketchUp 2025 model cleanup and edge repair. Use when Codex needs to plan, prepare, audit, or guide fixing broken imported CAD/DWG linework, closing edge gaps, finding open vertices, erasing stray curves, simplifying curves, making vertices co-linear, dividing"
sketchup-enscape-render-workflow,sketchup-enscape-render-workflow,codex_visual_stack/skills/sketchup-enscape-render-workflow/SKILL.md,2,"SketchUp Enscape 4.16+/4.18 Mac workflow for SketchUp 2025 interior rendering. Use when Codex needs to plan, prepare, audit, or guide Enscape real-time rendering from SketchUp 2025 on Bonnie's Mac Studio, including white-model-to-material render passes, camera/lighting/material setup, Asset Library/"
sketchup-flatten-faces-cleanup,sketchup-flatten-faces-cleanup,codex_visual_stack/skills/sketchup-flatten-faces-cleanup/SKILL.md,3,"SketchUp Unwrap and Flatten Faces 2.6 workflow for SketchUp 2025 cleanup, panel flattening, and surface preparation. Use when Codex needs to plan, prepare, audit, or guide flattening selected SketchUp faces, unwrapping non-coplanar faces, smashing/projecting geometry to X/Y/Z planes, preparing CAD/i"
sketchup-floor-panel-grid,sketchup-floor-panel-grid,codex_visual_stack/skills/sketchup-floor-panel-grid/SKILL.md,3,"SketchUp Floor Generator / MyPanelGrid 1.0.0 workflow for SketchUp 2025 floor, wall, ceiling, stone, wood, tile, acoustic, and decorative panel grid generation. Use when Codex needs to plan, prepare, audit, or guide creating regular panel arrays on a selected SketchUp face with panel width, height, "
sketchup-lightup-lighting,sketchup-lightup-lighting,codex_visual_stack/skills/sketchup-lightup-lighting/SKILL.md,3,"SketchUp LightUp Demo 7.5.f workflow for SketchUp 2025 realtime lighting, soft lighting previews, daylight and sky-factor checks, IES light testing, point lights, light meters, illumination diagnostics, realtime flythroughs, and render-prep QA for interior design. Use when Codex needs to plan, prepa"
sketchup-material-replacer,sketchup-material-replacer,codex_visual_stack/skills/sketchup-material-replacer/SKILL.md,3,"SketchUp TT Material Replacer 1.3.0 workflow for SketchUp 2025 batch material replacement, material cleanup, scheme A/B swaps, replacing default or wrong imported materials, render-prep material standardization, white-model-to-finish material iteration, and model-wide front/back material replacement"
sketchup-profile-builder,sketchup-profile-builder,codex_visual_stack/skills/sketchup-profile-builder/SKILL.md,3,"SketchUp Profile Builder 4 workflow for interior design modeling in SketchUp 2025 via SketchUp MCP or manual SketchUp guidance. Use when Codex needs to create, plan, audit, or guide reusable profile/assembly geometry such as skirting boards, trim, mouldings, wall panels, door/window frames, cabinet "
sketchup-s4u-slice-section-cuts,sketchup-s4u-slice-section-cuts,codex_visual_stack/skills/sketchup-s4u-slice-section-cuts/SKILL.md,3,"SketchUp s4u Slice 5.2.2 workflow for SketchUp 2025 slicing, cutting, detaching, group sections, section-cut geometry, exploded details, construction slices, cutaway views, model analysis, and interior detail presentation. Use when Codex needs to plan, prepare, audit, or guide cutting objects by pla"
sketchup-selection-toys-selection-control,sketchup-selection-toys-selection-control,codex_visual_stack/skills/sketchup-selection-toys-selection-control/SKILL.md,3,"SketchUp Selection Toys 2.4.0 workflow for SketchUp 2025 selection filtering and selection manipulation. Use when Codex needs to plan, prepare, audit, or guide advanced selection tasks in SketchUp such as selecting only edges/faces/groups/components, deselecting entity types, selecting hidden/soft/s"
sketchup-skatter-scattering,sketchup-skatter-scattering,codex_visual_stack/skills/sketchup-skatter-scattering/SKILL.md,3,"SketchUp Skatter 2 workflow for SketchUp 2025 interior, landscape, and visualization scattering. Use when Codex needs to plan, prepare, audit, or guide Skatter compositions for grass, plants, trees, gravel, carpet fibers, fabric fuzz, books, decor, people/crowds, facade modules, ceiling features, pa"
sketchup-sketchyffd-deformation,sketchup-sketchyffd-deformation,codex_visual_stack/skills/sketchup-sketchyffd-deformation/SKILL.md,3,"SketchUp SketchyFFD Classic V7/V7.1 workflow for SketchUp 2025 free-form deformation, control-cage editing, lattice/cage-based mesh manipulation, curved walls, soft furniture massing, sculptural interior forms, organic panels, bent grids, warped white-model blocks, and concept-stage shape exploratio"
sketchup-soap-skin-bubble-surfaces,sketchup-soap-skin-bubble-surfaces,codex_visual_stack/skills/sketchup-soap-skin-bubble-surfaces/SKILL.md,3,"SketchUp Soap Skin Bubble 1.0.36 workflow for SketchUp 2025 membrane, tensile, soap-skin, bubble, canopy, smooth surface, soft curved panel, dome, sail, cushion-like, and organic surface generation. Use when Codex needs to plan, prepare, audit, or guide creating surfaces from boundary curves/edges, "
sketchup-solid-inspector-repair,sketchup-solid-inspector-repair,codex_visual_stack/skills/sketchup-solid-inspector-repair/SKILL.md,3,"SketchUp Solid Inspector and Solid Inspector² workflow for SketchUp 2025 solid/manifold geometry diagnosis and repair. Use when Codex needs to plan, prepare, audit, or guide fixing non-solid groups/components, boolean failures, 3D-print/export STL problems, Profile Builder/Artisan/Skatter host issue"
sketchup-space-finder-planning,sketchup-space-finder-planning,codex_visual_stack/skills/sketchup-space-finder-planning/SKILL.md,3,"SketchUp Space Finder workflow for SketchUp 2025 space, room, floor-area, and planning analysis. Use when Codex needs to plan, prepare, audit, or guide identifying spaces in SketchUp models, generating room/area overlays, checking apartment/residential/commercial zones, comparing floor plan options,"
sketchup-stl-import-export,sketchup-stl-import-export,codex_visual_stack/skills/sketchup-stl-import-export/SKILL.md,3,"SketchUp STL Import & Export 2.2.0 workflow for SketchUp 2025 mesh exchange, product models, and 3D printing. Use when Codex needs to plan, prepare, audit, or guide importing STL meshes into SketchUp, exporting SketchUp groups/components as STL, checking units and scale, repairing solids before STL "
sketchup-texture-positioning,sketchup-texture-positioning,codex_visual_stack/skills/sketchup-texture-positioning/SKILL.md,3,"SketchUp Eneroth Texture Positioning Tools 1.0.3 workflow for SketchUp 2025 texture/UV alignment, rotating textures 90° or custom angles, aligning textures to face edges or a selected edge, depatternizing repeated textures, and render-prep QA for wood grain, stone slabs, tile, brick, wallpaper, fabr"
sketchup-truebend-bending,sketchup-truebend-bending,codex_visual_stack/skills/sketchup-truebend-bending/SKILL.md,3,"SketchUp True Bend 1.2.1 workflow for SketchUp 2025 precise length-preserving bending of groups/components. Use when Codex needs to plan, prepare, audit, or guide bending linear interior objects such as trims, mouldings, slats, wall panels, curved counters, arches, railings, cabinet details, furnitu"
